"graph,""category"",""cp"""
"pie,""es_auto"",""28052"""
"pie,""es_contents"",""28052"""
"pie,""es_contents"",""28055"""
"pie,""es_home"",""28052"""
"pie,""es_hotelservices"",""28040"""
"pie,""es_hotelservices"",""28048"""
"pie,""es_hotelservices"",""28051"""
"pie,""es_hotelservices"",""28052"""
"pie,""es_hotelservices"",""28054"""
"pie,""es_hotelservices"",""28055"""
"pie,""es_hyper"",""28052"""
"pie,""es_leisure"",""28048"""
"pie,""es_leisure"",""28052"""
"pie,""es_otherservices"",""28052"""
"pie,""es_sportsandtoys"",""28052"""
"pie,""es_tech"",""28052"""
"pie,""es_tech"",""28055"""
"pie,""es_travel"",""28048"""
"pie,""es_travel"",""28051"""
"pie,""es_travel"",""28052"""
"pie,""es_travel"",""28055"""
"pie,""es_wellnessandbeauty"",""28052"""
