"category","cp_origin","month","exp_in","exp_out","exp_total","exp_in_per","exp_out_per"
"all","28001",nov 2012,293143.36,579915.96,873059.32,33.58,66.42
"all","28001",dic 2012,348772.08,612281.18,961053.26,36.29,63.71
"all","28001",ene 2013,292741.88,550243.21,842985.09,34.73,65.27
"all","28001",feb 2013,250930.22,592984.02,843914.24,29.73,70.27
"all","28001",mar 2013,254735.09,537141.97,791877.06,32.17,67.83
"all","28001",abr 2013,306797.76,608382.92,915180.68,33.52,66.48
"all","28002",nov 2012,518197.75,1340720.57,1858918.32,27.88,72.12
"all","28002",dic 2012,525037.91,1380345.94,1905383.85,27.56,72.44
"all","28002",ene 2013,444791.87,1258912.62,1703704.49,26.11,73.89
"all","28002",feb 2013,460311.46,1237948.7,1698260.16,27.1,72.9
"all","28002",mar 2013,477098.57,1255973.33,1733071.9,27.53,72.47
"all","28002",abr 2013,537934.97,1411120.75,1949055.72,27.6,72.4
"all","28003",nov 2012,358186.28,1046731.85,1404918.13,25.5,74.5
"all","28003",dic 2012,404008.38,1056806.44,1460814.82,27.66,72.34
"all","28003",ene 2013,351033.24,976415.74,1327448.98,26.44,73.56
"all","28003",feb 2013,328505.85,969804.6,1298310.45,25.3,74.7
"all","28003",mar 2013,340884.94,980920.63,1321805.57,25.79,74.21
"all","28003",abr 2013,365648.49,1142555.16,1508203.65,24.24,75.76
"all","28004",nov 2012,209497.39,619199.87,828697.26,25.28,74.72
"all","28004",dic 2012,215934.05,648548.05,864482.1,24.98,75.02
"all","28004",ene 2013,188961.19,609487.86,798449.05,23.67,76.33
"all","28004",feb 2013,179760.12,584292.71,764052.83,23.53,76.47
"all","28004",mar 2013,184862.03,563909.64,748771.67,24.69,75.31
"all","28004",abr 2013,203942.18,613617.14,817559.32,24.95,75.05
"all","28005",nov 2012,461008.72,1004036.79,1465045.51,31.47,68.53
"all","28005",dic 2012,479625.25,1087731.81,1567357.06,30.6,69.4
"all","28005",ene 2013,414936.48,1019570.17,1434506.65,28.93,71.07
"all","28005",feb 2013,448484.52,903891.06,1352375.58,33.16,66.84
"all","28005",mar 2013,444142.57,899428.23,1343570.8,33.06,66.94
"all","28005",abr 2013,488612.06,966588.77,1455200.83,33.58,66.42
"all","28006",nov 2012,390095.74,812386.35,1202482.09,32.44,67.56
"all","28006",dic 2012,402929.7,891644.53,1294574.23,31.12,68.88
"all","28006",ene 2013,354946.6,808663.83,1163610.43,30.5,69.5
"all","28006",feb 2013,352318.5,763721.13,1116039.63,31.57,68.43
"all","28006",mar 2013,346778.58,771935.69,1118714.27,31,69
"all","28006",abr 2013,383138.31,886271.75,1269410.06,30.18,69.82
"all","28007",nov 2012,577438.87,1172618.47,1750057.34,33,67
"all","28007",dic 2012,611316.15,1276909.31,1888225.46,32.38,67.62
"all","28007",ene 2013,513574.14,1159010.68,1672584.82,30.71,69.29
"all","28007",feb 2013,570394.19,1051867.27,1622261.46,35.16,64.84
"all","28007",mar 2013,579325.13,1066542.43,1645867.56,35.2,64.8
"all","28007",abr 2013,651073.05,1147770.2,1798843.25,36.19,63.81
"all","28008",nov 2012,272686.49,766460.33,1039146.82,26.24,73.76
"all","28008",dic 2012,296907.82,762160.7,1059068.52,28.03,71.97
"all","28008",ene 2013,263439.01,590808.17,854247.18,30.84,69.16
"all","28008",feb 2013,230025.66,582379.73,812405.39,28.31,71.69
"all","28008",mar 2013,245328.66,602767.58,848096.24,28.93,71.07
"all","28008",abr 2013,273355.61,764887.42,1038243.03,26.33,73.67
"all","28009",nov 2012,352213.4,718747.39,1070960.79,32.89,67.11
"all","28009",dic 2012,398178.56,764543.35,1162721.91,34.25,65.75
"all","28009",ene 2013,350873.31,682571.43,1033444.74,33.95,66.05
"all","28009",feb 2013,329701.29,661370.51,991071.8,33.27,66.73
"all","28009",mar 2013,336717.21,664078.02,1000795.23,33.64,66.36
"all","28009",abr 2013,361292.69,709767.85,1071060.54,33.73,66.27
"all","28010",nov 2012,254192.54,809245.2,1063437.74,23.9,76.1
"all","28010",dic 2012,265145.18,822000.81,1087145.99,24.39,75.61
"all","28010",ene 2013,226489.31,741662.76,968152.07,23.39,76.61
"all","28010",feb 2013,228266.14,689309.11,917575.25,24.88,75.12
"all","28010",mar 2013,236811.07,704114.31,940925.38,25.17,74.83
"all","28010",abr 2013,260400.62,765317.38,1025718,25.39,74.61
"all","28011",nov 2012,201876.19,606750.37,808626.56,24.97,75.03
"all","28011",dic 2012,201377.5,664385.5,865763,23.26,76.74
"all","28011",ene 2013,177613.85,622550.55,800164.4,22.2,77.8
"all","28011",feb 2013,187018.69,561954.07,748972.76,24.97,75.03
"all","28011",mar 2013,199535.16,585558.51,785093.67,25.42,74.58
"all","28011",abr 2013,219349.14,636347.67,855696.81,25.63,74.37
"all","28012",nov 2012,126005.27,501760.9,627766.17,20.07,79.93
